[Wed May 21 11:34:44 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:1 | 결과: Result: 0
[Wed May 21 11:38:46 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:2 | 결과: Result: 0
[Wed May 21 11:40:58 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:3 | 결과: Result: 0
[Wed May 21 11:41:14 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:0 | 결과: Result: 0
[Wed May 21 11:41:26 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:3 | 결과: Result: 0
[Wed May 21 11:43:11 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:0 | 결과: Result: 0
[Wed May 21 11:43:25 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:3 | 결과: Result: 0
[Wed May 21 11:43:38 2025] 192.168.0.35 | 요청: cds_led:cdsRead:0 | 결과: dlsym error: ./libcds_led.so: undefined symbol: cdsRead
[Wed May 21 11:45:02 2025] 192.168.0.35 | 요청: cds_led:cdsRead:0 | 결과: Result: 0
[Wed May 21 11:45:21 2025] 192.168.0.35 | 요청: cds_led:cdsRead:0 | 결과: Result: 1
[Wed May 21 12:04:35 2025] 192.168.0.35 | 요청: cds_led:cdsControl:0 | 결과: CDS 모니터링 시작됨
[Wed May 21 12:08:10 2025] 192.168.0.35 | 요청: 7seg_fnd:countDown:5 | 결과: Result: 0
[Wed May 21 12:11:12 2025] 192.168.0.35 | 요청: 7seg_gnd:coutDown:5 | 결과: dlopen error: ./lib7seg_gnd.so: cannot open shared object file: No such file or directory
[Wed May 21 12:11:24 2025] 192.168.0.35 | 요청: 7seg_fnd_countDown:5 | 결과: Invalid format
[Wed May 21 12:11:43 2025] 192.168.0.35 | 요청: 7seg_fnd:countDown:5 | 결과: Result: 0
[Wed May 21 12:13:27 2025] 192.168.0.35 | 요청: 7seg_fnd:countDown:5 | 결과: Result: 0
[Wed May 21 13:12:38 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:0 | 결과: Result: 0
[Wed May 21 13:13:06 2025] 192.168.0.35 | 요청: led_pwm:ledPwmCtrl:3 | 결과: Result: 0
[Wed May 21 13:14:13 2025] 192.168.0.35 | 요청: 7seg_fnd:countDown:5 | 결과: Result: 0
